suburb_state,postcode,suburb,state
"DAVIS CREEK, NSW",2336,DAVIS CREEK,NSW
"DAVISTOWN, NSW",2251,DAVISTOWN,NSW
"GLEN DAVIS, NSW",2846,GLEN DAVIS,NSW
"PORT DAVIS, SA",5540,PORT DAVIS,SA
"DAVOREN PARK, SA",5113,DAVOREN PARK,SA
"DAVOREN PARK SOUTH, SA",5113,DAVOREN PARK SOUTH,SA
"DAW PARK, SA",5041,DAW PARK,SA
"DAWES POINT, NSW",2000,DAWES POINT,NSW
"DAWESLEY, SA",5252,DAWESLEY,SA
"DAWESVILLE, WA",6211,DAWESVILLE,WA
"DAWSON, VIC",3858,DAWSON,VIC
"DAWSON, SA",5422,DAWSON,SA
"UPPER DAWSON, QLD",4454,UPPER DAWSON,QLD
"DAYBORO, QLD",4521,DAYBORO,QLD
"DAYLESFORD, VIC",3460,DAYLESFORD,VIC
"DAYMAR, QLD",4497,DAYMAR,QLD
"DAYSDALE, NSW",2646,DAYSDALE,NSW
"DAYTON, WA",6055,DAYTON,WA
"DE GREY, WA",6722,DE GREY,WA
"DE MOLE RIVER, SA",5223,DE MOLE RIVER,SA
"DE ROSE HILL, SA",0872,DE ROSE HILL,SA
"DEAGON, QLD",4017,DEAGON,QLD
"DEAKIN, ACT",2600,DEAKIN,ACT
"DEAKIN WEST, ACT",2600,DEAKIN WEST,ACT
"DEAN, VIC",3363,DEAN,VIC
"DEAN PARK, NSW",2761,DEAN PARK,NSW
"DEANMILL, WA",6258,DEANMILL,WA
"DEANS MARSH, VIC",3235,DEANS MARSH,VIC
"DEANSIDE, VIC",3336,DEANSIDE,VIC
"DEAUVILLE, NSW",2443,DEAUVILLE,NSW
"DEBENHAM, NSW",2446,DEBENHAM,NSW
"DECEPTION BAY, QLD",4508,DECEPTION BAY,QLD
"DEDDICK VALLEY, VIC",3888,DEDDICK VALLEY,VIC
"DEDDINGTON, TAS",7212,DEDDINGTON,TAS
"DEDERANG, VIC",3691,DEDERANG,VIC
"DEDIN, QLD",4873,DEDIN,QLD
"DEE, TAS",7140,DEE,TAS
"DEE WHY, NSW",2099,DEE WHY,NSW
"DEEBING HEIGHTS, QLD",4306,DEEBING HEIGHTS,QLD
"DEEP BAY, TAS",7112,DEEP BAY,TAS
"DEEP CREEK, NSW",2440,DEEP CREEK,NSW
"DEEP CREEK, NSW",2460,DEEP CREEK,NSW
"DEEP CREEK, NSW",2469,DEEP CREEK,NSW
"DEEP CREEK, QLD",4625,DEEP CREEK,QLD
"DEEP CREEK, SA",5204,DEEP CREEK,SA
"DEEP LEAD, VIC",3385,DEEP LEAD,VIC
"DEEPDALE, WA",6532,DEEPDALE,WA
"DEEPDENE, VIC",3103,DEEPDENE,VIC
"DEEPDENE, WA",6290,DEEPDENE,WA
"DEEPWATER, NSW",2371,DEEPWATER,NSW
"DEEPWATER, QLD",4674,DEEPWATER,QLD
"DEEPWATER, SA",5266,DEEPWATER,SA
"DEER PARK, VIC",3023,DEER PARK,VIC
"DEER PARK EAST, VIC",3022,DEER PARK EAST,VIC
"DEER PARK NORTH, VIC",3023,DEER PARK NORTH,VIC
"DEER VALE, NSW",2453,DEER VALE,NSW
"DEERAGUN, QLD",4818,DEERAGUN,QLD
"DEERAL, QLD",4871,DEERAL,QLD
"EAST DEEP CREEK, QLD",4570,EAST DEEP CREEK,QLD
"MOUNT DEE, NSW",2320,MOUNT DEE,NSW
"NORTH DEEP CREEK, QLD",4570,NORTH DEEP CREEK,QLD
"DEGARRA, QLD",4895,DEGARRA,QLD
"DEGILBO, QLD",4621,DEGILBO,QLD
"DELACOMBE, VIC",3356,DELACOMBE,VIC
"DELAHEY, VIC",3037,DELAHEY,VIC
"DELAMERE, NT",0852,DELAMERE,NT
"DELAMERE, SA",5204,DELAMERE,SA
"DELAN, QLD",4671,DELAN,QLD
"DELANEYS CREEK, QLD",4514,DELANEYS CREEK,QLD
"MOUNT DELANEY, QLD",4514,MOUNT DELANEY,QLD
"DELATITE, VIC",3723,DELATITE,VIC
"DELBURN, VIC",3871,DELBURN,VIC
"DELEGATE, NSW",2633,DELEGATE,NSW
"DELEGATE RIVER, VIC",3888,DELEGATE RIVER,VIC
"DELISSAVILLE, NT",0822,DELISSAVILLE,NT
"DELORAINE, TAS",7304,DELORAINE,TAS
"DELUNGRA, NSW",2403,DELUNGRA,NSW
"DENBARKER, WA",6324,DENBARKER,WA
"DENDY, VIC",3186,DENDY,VIC
"DENHAM, WA",6537,DENHAM,WA
"DENHAM COURT, NSW",2565,DENHAM COURT,NSW
"DENHAMS BEACH, NSW",2536,DENHAMS BEACH,NSW
"DENIAL BAY, SA",5690,DENIAL BAY,SA
"DENICULL CREEK, VIC",3377,DENICULL CREEK,VIC
"DENILIQUIN, NSW",2710,DENILIQUIN,NSW
"DENILIQUIN NORTH, NSW",2710,DENILIQUIN NORTH,NSW
"DENISON, VIC",3858,DENISON,VIC
"PORT DENISON, WA",6525,PORT DENISON,WA
"DENISTONE, NSW",2114,DENISTONE,NSW
"DENISTONE EAST, NSW",2112,DENISTONE EAST,NSW
"DENISTONE WEST, NSW",2114,DENISTONE WEST,NSW
"DENMAN, NSW",2328,DENMAN,NSW
"DENMAN PROSPECT, ACT",2611,DENMAN PROSPECT,ACT
"DENMARK, WA",6333,DENMARK,WA
"DENNES POINT, TAS",7150,DENNES POINT,TAS
"DENNINGTON, VIC",3280,DENNINGTON,VIC
"DENVER, VIC",3461,DENVER,VIC
"DEPOT BEACH, NSW",2536,DEPOT BEACH,NSW
"DEPOT HILL, QLD",4700,DEPOT HILL,QLD
"DEPTFORD, VIC",3875,DEPTFORD,VIC
"DERBY, VIC",3516,DERBY,VIC
"DERBY, WA",6728,DERBY,WA
"DERBY, TAS",7264,DERBY,TAS
"GLOBE DERBY PARK, SA",5110,GLOBE DERBY PARK,SA
"DEREEL, VIC",3352,DEREEL,VIC
"DERGHOLM, VIC",3312,DERGHOLM,VIC
"DERNANCOURT, SA",5075,DERNANCOURT,SA
"DERRI DERRA, QLD",4626,DERRI DERRA,QLD
"DERRIMUT, VIC",3026,DERRIMUT,VIC
"DERRINAL, VIC",3523,DERRINAL,VIC
"DERRINALLUM, VIC",3325,DERRINALLUM,VIC
"DERRIWONG, NSW",2877,DERRIWONG,NSW
"DERRYMORE, QLD",4352,DERRYMORE,QLD
"DERWENT BRIDGE, TAS",7140,DERWENT BRIDGE,TAS
"DERWENT PARK, TAS",7009,DERWENT PARK,TAS
"DESAILLY, QLD",4871,DESAILLY,QLD
"DESERT SPRINGS, NT",0870,DESERT SPRINGS,NT
"DETENTION, TAS",7321,DETENTION,TAS
"DEUA, NSW",2537,DEUA,NSW
"DEUA RIVER VALLEY, NSW",2537,DEUA RIVER VALLEY,NSW
"DEUCHAR, QLD",4362,DEUCHAR,QLD
"DEVENISH, VIC",3726,DEVENISH,VIC
"DEVEREUX CREEK, QLD",4753,DEVEREUX CREEK,QLD
"DEVILS CREEK, WA",6630,DEVILS CREEK,WA
"DEVILS HOLE, NSW",2550,DEVILS HOLE,NSW
"DEVILS RIVER, VIC",3714,DEVILS RIVER,VIC
"DEVIOT, TAS",7275,DEVIOT,TAS
"DEVLINS POUND, SA",5330,DEVLINS POUND,SA
"DEVON HILLS, TAS",7300,DEVON HILLS,TAS
"DEVON MEADOWS, VIC",3977,DEVON MEADOWS,VIC
"DEVON NORTH, VIC",3971,DEVON NORTH,VIC
"DEVON PARK, QLD",4401,DEVON PARK,QLD
"DEVON PARK, SA",5008,DEVON PARK,SA
"DEVONBOROUGH DOWNS, SA",5440,DEVONBOROUGH DOWNS,SA
"DEVONPORT, TAS",7310,DEVONPORT,TAS
"EAST DEVONPORT, TAS",7310,EAST DEVONPORT,TAS
"DEWARS POOL, WA",6567,DEWARS POOL,WA
"DEWHURST, VIC",3808,DEWHURST,VIC
"DEWITT, NSW",2422,DEWITT,NSW
"DHARRUK, NSW",2770,DHARRUK,NSW
"DHULURA, NSW",2650,DHULURA,NSW
"DHURAGOON, NSW",2733,DHURAGOON,NSW
"DHURRINGILE, VIC",3610,DHURRINGILE,VIC
"DIAMANTINA LAKES, QLD",4735,DIAMANTINA LAKES,QLD
"DIAMOND BEACH, NSW",2430,DIAMOND BEACH,NSW
"DIAMOND CREEK, VIC",3089,DIAMOND CREEK,VIC
"DIAMOND HEAD, NSW",2443,DIAMOND HEAD,NSW
"DIAMOND TREE, WA",6258,DIAMOND TREE,WA
"DIAMOND VALLEY, QLD",4553,DIAMOND VALLEY,QLD
"DIAMONDVALE, QLD",4380,DIAMONDVALE,QLD
"DIAMONDY, QLD",4410,DIAMONDY,QLD
"DIANELLA, WA",6059,DIANELLA,WA
"DICKSON, ACT",2602,DICKSON,ACT
"DICKY BEACH, QLD",4551,DICKY BEACH,QLD
"DIDCOT, QLD",4621,DIDCOT,QLD
"DIDDILLIBAH, QLD",4559,DIDDILLIBAH,QLD
"DIEHARD, NSW",2370,DIEHARD,NSW
"DIGBY, VIC",3309,DIGBY,VIC
"DIGGERS CAMP, NSW",2462,DIGGERS CAMP,NSW
"DIGGERS REST, VIC",3427,DIGGERS REST,VIC
"DIGGORA, VIC",3561,DIGGORA,VIC
"DIGLUM, QLD",4680,DIGLUM,QLD
"DIGNAMS CREEK, NSW",2546,DIGNAMS CREEK,NSW
"DILKOON, NSW",2460,DILKOON,NSW
"DILPURRA, NSW",2734,DILPURRA,NSW
"DILSTON, TAS",7252,DILSTON,TAS
"DIMBOOLA, VIC",3414,DIMBOOLA,VIC
"DIMBULAH, QLD",4872,DIMBULAH,QLD
"DINDILOA, WA",6532,DINDILOA,WA
"DINGABLEDINGA, SA",5172,DINGABLEDINGA,SA
"DINGEE, VIC",3571,DINGEE,VIC
"DINGLEY VILLAGE, VIC",3172,DINGLEY VILLAGE,VIC
"DINGO, QLD",4702,DINGO,QLD
"DINGO BEACH, QLD",4800,DINGO BEACH,QLD
"DINGO FOREST, NSW",2429,DINGO FOREST,NSW
"DINGO POCKET, QLD",4854,DINGO POCKET,QLD
"DINGUP, WA",6258,DINGUP,WA
"DINGWALL, VIC",3579,DINGWALL,VIC
"DINMORE, QLD",4303,DINMORE,QLD
"DINNER PLAIN, VIC",3898,DINNER PLAIN,VIC
"DINNINUP, WA",6244,DINNINUP,WA
"DINOGA, NSW",2404,DINOGA,NSW
"DIREK, SA",5110,DIREK,SA
"DIRK HARTOG ISLAND, WA",6537,DIRK HARTOG ISLAND,WA
"DIRNASEER, NSW",2666,DIRNASEER,NSW
"DIRNBIR, QLD",4625,DIRNBIR,QLD
"DIRRANBANDI, QLD",4486,DIRRANBANDI,QLD
"DIRTY CREEK, NSW",2456,DIRTY CREEK,NSW
"DISMAL SWAMP, SA",5291,DISMAL SWAMP,SA
"DITTMER, QLD",4800,DITTMER,QLD
"DIWAN, QLD",4873,DIWAN,QLD
"DIXALEA, QLD",4702,DIXALEA,QLD
"DIXIE, VIC",3265,DIXIE,VIC
"DIXIE, QLD",4892,DIXIE,QLD
"DIXONS CREEK, VIC",3775,DIXONS CREEK,VIC
"DIXVALE, WA",6258,DIXVALE,WA
"DJARAWONG, QLD",4854,DJARAWONG,QLD
"DJIRU, QLD",4852,DJIRU,QLD
"DJUAN, QLD",4352,DJUAN,QLD
"DJUGUN, WA",6725,DJUGUN,WA
"DOBIE, VIC",3377,DOBIE,VIC
"DOBIES BIGHT, NSW",2470,DOBIES BIGHT,NSW
"DOCKER, VIC",3678,DOCKER,VIC
"DOCKERS PLAINS, VIC",3678,DOCKERS PLAINS,VIC
"DOCKLANDS, VIC",3008,DOCKLANDS,VIC
"DOCKLANDS, VIC",8012,DOCKLANDS,VIC
"DOCTOR CREEK, QLD",4352,DOCTOR CREEK,QLD
"DOCTOR GEORGE MOUNTAIN, NSW",2550,DOCTOR GEORGE MOUNTAIN,NSW
"DOCTORS FLAT, VIC",3895,DOCTORS FLAT,VIC
"DOCTORS GAP, NSW",2790,DOCTORS GAP,NSW
"DOCTORS POINT, TAS",7304,DOCTORS POINT,TAS
"DOCTORS ROCKS, TAS",7325,DOCTORS ROCKS,TAS
"DODGES FERRY, TAS",7173,DODGES FERRY,TAS
"DOG ROCKS, NSW",2795,DOG ROCKS,NSW
"DOLANS BAY, NSW",2229,DOLANS BAY,NSW
"DOLLAR, VIC",3871,DOLLAR,VIC
"DOLLS POINT, NSW",2219,DOLLS POINT,NSW
"DOLLYS FLAT, NSW",2429,DOLLYS FLAT,NSW
"DOLPHIN HEADS, QLD",4740,DOLPHIN HEADS,QLD
"DOLPHIN POINT, NSW",2539,DOLPHIN POINT,NSW
"DOLPHIN SANDS, TAS",7190,DOLPHIN SANDS,TAS
"DOMBARTON, NSW",2530,DOMBARTON,NSW
"DOMVILLE, QLD",4357,DOMVILLE,QLD
"DON, TAS",7310,DON,TAS
"DON VALLEY, VIC",3139,DON VALLEY,VIC
"DONALD, VIC",3480,DONALD,VIC
"DONALD CREEK, NSW",2350,DONALD CREEK,NSW
"DONCASTER, VIC",3108,DONCASTER,VIC
"DONCASTER EAST, VIC",3109,DONCASTER EAST,VIC
"DONCASTER HEIGHTS, VIC",3109,DONCASTER HEIGHTS,VIC
"DONDINGALONG, NSW",2440,DONDINGALONG,NSW
"DONGARA, WA",6525,DONGARA,WA
"DONGOLOCKING, WA",6315,DONGOLOCKING,WA
"DONNELLY RIVER, WA",6258,DONNELLY RIVER,WA
"DONNELLYVILLE, NSW",2447,DONNELLYVILLE,NSW
"DONNYBROOK, VIC",3064,DONNYBROOK,VIC
"DONNYBROOK, QLD",4510,DONNYBROOK,QLD
"DONNYBROOK, WA",6239,DONNYBROOK,WA
"DONOVANS, SA",5291,DONOVANS,SA
"DONVALE, VIC",3111,DONVALE,VIC
"DOOBOOBETIC, VIC",3478,DOOBOOBETIC,VIC
"DOODENANNING, WA",6383,DOODENANNING,WA
"DOODLAKINE, WA",6411,DOODLAKINE,WA
"SOUTH DOODLAKINE, WA",6411,SOUTH DOODLAKINE,WA
"DOOEN, VIC",3401,DOOEN,VIC
"DOOKIE, VIC",3646,DOOKIE,VIC
"DOOKIE COLLEGE, VIC",3647,DOOKIE COLLEGE,VIC
"DOOLANDELLA, QLD",4077,DOOLANDELLA,QLD
"DOOLBI, QLD",4660,DOOLBI,QLD
"DOOMADGEE, QLD",4830,DOOMADGEE,QLD
"DOON DOON, NSW",2484,DOON DOON,NSW
"DOONAN, QLD",4562,DOONAN,QLD
"DOONBAH, NSW",2473,DOONBAH,NSW
"DOONGUL, QLD",4620,DOONGUL,QLD
"DOONSIDE, NSW",2767,DOONSIDE,NSW
"DOORALONG, NSW",2259,DOORALONG,NSW
"DORA CREEK, NSW",2264,DORA CREEK,NSW
"DOREEN, VIC",3754,DOREEN,VIC
"DORODONG, VIC",3312,DORODONG,VIC
"DORRE ISLAND, WA",6701,DORRE ISLAND,WA
"DORRIGO, NSW",2453,DORRIGO,NSW
"DORRIGO MOUNTAIN, NSW",2453,DORRIGO MOUNTAIN,NSW
"NORTH DORRIGO, NSW",2453,NORTH DORRIGO,NSW
"DORROUGHBY, NSW",2480,DORROUGHBY,NSW
"DORSET VALE, SA",5157,DORSET VALE,SA
"DOTSWOOD, QLD",4820,DOTSWOOD,QLD
"DOUBLE BAY, NSW",1360,DOUBLE BAY,NSW
"DOUBLE BAY, NSW",2028,DOUBLE BAY,NSW
"DOUBLEVIEW, WA",6018,DOUBLEVIEW,WA
"DOUBTFUL CREEK, NSW",2470,DOUBTFUL CREEK,NSW
"DOUGHBOY, QLD",4671,DOUGHBOY,QLD
"DOUGLAS, VIC",3409,DOUGLAS,VIC
"DOUGLAS, QLD",4354,DOUGLAS,QLD
"DOUGLAS, QLD",4814,DOUGLAS,QLD
"DOUGLAS PARK, NSW",2569,DOUGLAS PARK,NSW
"DOUGLAS POINT, SA",5601,DOUGLAS POINT,SA
"DOUGLAS POINT SOUTH, SA",5601,DOUGLAS POINT SOUTH,SA
"DOUGLAS RIVER, TAS",7215,DOUGLAS RIVER,TAS
"LITTLE DOUGLAS, SA",5607,LITTLE DOUGLAS,SA
"PORT DOUGLAS, QLD",4877,PORT DOUGLAS,QLD
"DOVER, TAS",7117,DOVER,TAS
"DOVER GARDENS, SA",5048,DOVER GARDENS,SA
"DOVER HEIGHTS, NSW",2030,DOVER HEIGHTS,NSW
"DOVETON, VIC",3177,DOVETON,VIC
"DOWAR ISLET, QLD",4875,DOWAR ISLET,QLD
"DOWERIN, WA",6461,DOWERIN,WA
"DOWLINGVILLE, SA",5571,DOWLINGVILLE,SA
"DOWNER, ACT",2602,DOWNER,ACT
"DOWNLANDS, TAS",7320,DOWNLANDS,TAS
"DOWNSFIELD, QLD",4570,DOWNSFIELD,QLD
"DOWNSIDE, NSW",2650,DOWNSIDE,NSW
"DOWS CREEK, QLD",4754,DOWS CREEK,QLD
"DOWSING POINT, TAS",7010,DOWSING POINT,TAS
"DOYALSON, NSW",2262,DOYALSON,NSW
"DOYALSON NORTH, NSW",2262,DOYALSON NORTH,NSW
"DOYLES CREEK, NSW",2330,DOYLES CREEK,NSW
"DOYLES RIVER, NSW",2446,DOYLES RIVER,NSW
"DRAKE, NSW",2469,DRAKE,NSW
"DRAKE VILLAGE, NSW",2469,DRAKE VILLAGE,NSW
"DRAPER, QLD",4520,DRAPER,QLD
"DRAYTON, QLD",4350,DRAYTON,QLD
"DRAYTON NORTH, QLD",4350,DRAYTON NORTH,QLD
"DREEITE, VIC",3249,DREEITE,VIC
"DREEITE SOUTH, VIC",3249,DREEITE SOUTH,VIC
"DREWVALE, QLD",4116,DREWVALE,QLD
"DRIFFIELD, VIC",3840,DRIFFIELD,VIC
"DRIK DRIK, VIC",3304,DRIK DRIK,VIC
"DRILDOOL, NSW",2386,DRILDOOL,NSW
"DRILLHAM, QLD",4424,DRILLHAM,QLD
"DRILLHAM SOUTH, QLD",4424,DRILLHAM SOUTH,QLD
"DRINAN, QLD",4671,DRINAN,QLD
"DRIPSTONE, NSW",2820,DRIPSTONE,NSW
"DRIVER, NT",0830,DRIVER,NT
"DROMANA, VIC",3936,DROMANA,VIC
"DROME, WA",6330,DROME,WA
"DROMEDARY, QLD",4718,DROMEDARY,QLD
"DROMEDARY, TAS",7030,DROMEDARY,TAS
"DROPMORE, VIC",3660,DROPMORE,VIC
"DROUIN, VIC",3818,DROUIN,VIC
"DROUIN EAST, VIC",3818,DROUIN EAST,VIC
"DROUIN SOUTH, VIC",3818,DROUIN SOUTH,VIC
"DROUIN WEST, VIC",3818,DROUIN WEST,VIC
"DRUMANURE, VIC",3636,DRUMANURE,VIC
"DRUMBORG, VIC",3304,DRUMBORG,VIC
"DRUMCONDRA, VIC",3215,DRUMCONDRA,VIC
"DRUMMARTIN, VIC",3570,DRUMMARTIN,VIC
"DRUMMOND, VIC",3461,DRUMMOND,VIC
"DRUMMOND COVE, WA",6532,DRUMMOND COVE,WA
"DRUMMOND NORTH, VIC",3446,DRUMMOND NORTH,VIC
"MOUNT DRUMMOND, SA",5607,MOUNT DRUMMOND,SA
"DRUMMOYNE, NSW",1470,DRUMMOYNE,NSW
"DRUMMOYNE, NSW",2047,DRUMMOYNE,NSW
"DRUNG, VIC",3401,DRUNG,VIC
"DRY CREEK, NSW",2337,DRY CREEK,NSW
"DRY CREEK, SA",5094,DRY CREEK,SA
"DRY DIGGINGS, VIC",3461,DRY DIGGINGS,VIC
"DRY PLAIN, NSW",2630,DRY PLAIN,NSW
"DRYANDRA, WA",6311,DRYANDRA,WA
"DRYSDALE, VIC",3222,DRYSDALE,VIC
"DRYSDALE RIVER, WA",6740,DRYSDALE RIVER,WA
"DUARINGA, QLD",4712,DUARINGA,QLD
"DUBBO, NSW",2830,DUBBO,NSW
"DUBBO DC, NSW",2830,DUBBO DC,NSW
"DUBBO EAST, NSW",2830,DUBBO EAST,NSW
"DUBBO GROVE, NSW",2830,DUBBO GROVE,NSW
"DUBBO WEST, NSW",2830,DUBBO WEST,NSW
"DUBLIN, SA",5501,DUBLIN,SA
"DUCHEMBEGARRA, VIC",3409,DUCHEMBEGARRA,VIC
"DUCHESS, QLD",4825,DUCHESS,QLD
"DUCK CREEK, NSW",2469,DUCK CREEK,NSW
"LOWER DUCK CREEK, NSW",2469,LOWER DUCK CREEK,NSW
"UPPER DUCK CREEK, NSW",2469,UPPER DUCK CREEK,NSW
"DUCK PONDS, SA",5607,DUCK PONDS,SA
"DUCKENFIELD, NSW",2321,DUCKENFIELD,NSW
"DUCKINWILLA, QLD",4650,DUCKINWILLA,QLD
"DUCKLO, QLD",4405,DUCKLO,QLD
"DUCKMALOI, NSW",2787,DUCKMALOI,NSW
"DUDAWA, WA",6519,DUDAWA,WA
"DUDININ, WA",6363,DUDININ,WA
"DUDLEY, NSW",2290,DUDLEY,NSW
"DUDLEY EAST, SA",5222,DUDLEY EAST,SA
"DUDLEY PARK, SA",5008,DUDLEY PARK,SA
"DUDLEY PARK, WA",6210,DUDLEY PARK,WA
"DUDLEY WEST, SA",5222,DUDLEY WEST,SA
"SOUTH DUDLEY, VIC",3995,SOUTH DUDLEY,VIC
"DUFFY, ACT",2611,DUFFY,ACT
"DUFFYS FOREST, NSW",2084,DUFFYS FOREST,NSW
"DUGANDAN, QLD",4310,DUGANDAN,QLD
"DUINGAL, QLD",4671,DUINGAL,QLD
"DUKIN, WA",6475,DUKIN,WA
"DULACCA, QLD",4425,DULACCA,QLD
"DULBELLING, WA",6383,DULBELLING,WA
"DULCOT, TAS",7025,DULCOT,TAS
"DULGUIGAN, NSW",2484,DULGUIGAN,NSW
"DULKANINNA, SA",5733,DULKANINNA,SA
"DULONG, QLD",4560,DULONG,QLD
"DULULU, QLD",4702,DULULU,QLD
"DULWICH, SA",5065,DULWICH,SA
"DULWICH HILL, NSW",2203,DULWICH HILL,NSW
"DULYALBIN, WA",6425,DULYALBIN,WA
"DUM DUM, NSW",2484,DUM DUM,NSW
"DUMARESQ, NSW",2350,DUMARESQ,NSW
"DUMARESQ ISLAND, NSW",2430,DUMARESQ ISLAND,NSW
"DUMARESQ VALLEY, NSW",2372,DUMARESQ VALLEY,NSW
"DUMBALK, VIC",3956,DUMBALK,VIC
"DUMBALK NORTH, VIC",3956,DUMBALK NORTH,VIC
"DUMBARTON, WA",6566,DUMBARTON,WA
"DUMBERNING, WA",6312,DUMBERNING,WA
"DUMBLETON, QLD",4740,DUMBLETON,QLD
"DUMBLEYUNG, WA",6350,DUMBLEYUNG,WA
"DUMBUDGERY, NSW",2460,DUMBUDGERY,NSW
"DUMGREE, QLD",4715,DUMGREE,QLD
"DUMOSA, VIC",3527,DUMOSA,VIC
"DUMPY CREEK, QLD",4702,DUMPY CREEK,QLD
"DUNACH, VIC",3371,DUNACH,VIC
"DUNALLEY, TAS",7177,DUNALLEY,TAS
"DUNBIBLE, NSW",2484,DUNBIBLE,NSW
"DUNBOGAN, NSW",2443,DUNBOGAN,NSW
"DUNCAN, SA",5223,DUNCAN,SA
"DUNCANS CREEK, NSW",2340,DUNCANS CREEK,NSW
"DUNCRAIG, WA",6023,DUNCRAIG,WA
"DUNDARRAH, QLD",4625,DUNDARRAH,QLD
"DUNDAS, NSW",2117,DUNDAS,NSW
"DUNDAS, QLD",4306,DUNDAS,QLD
"DUNDAS, WA",6443,DUNDAS,WA
"DUNDAS VALLEY, NSW",2117,DUNDAS VALLEY,NSW
"DUNDATHU, QLD",4650,DUNDATHU,QLD
"DUNDEE, NSW",2370,DUNDEE,NSW
"DUNDEE BEACH, NT",0840,DUNDEE BEACH,NT
"DUNDEE DOWNS, NT",0840,DUNDEE DOWNS,NT
"DUNDEE FOREST, NT",0840,DUNDEE FOREST,NT
"DUNDONNELL, VIC",3271,DUNDONNELL,VIC
"DUNDOWRAN, QLD",4655,DUNDOWRAN,QLD
"DUNDOWRAN BEACH, QLD",4655,DUNDOWRAN BEACH,QLD
"DUNDULA, QLD",4740,DUNDULA,QLD
"DUNDULA CREEK, QLD",4702,DUNDULA CREEK,QLD
"DUNDURRABIN, NSW",2453,DUNDURRABIN,NSW
"DUNEARN, VIC",3175,DUNEARN,VIC
"DUNEDOO, NSW",2844,DUNEDOO,NSW
"DUNGARUBBA, NSW",2480,DUNGARUBBA,NSW
"DUNGAY, NSW",2484,DUNGAY,NSW
"DUNGEREE, NSW",2849,DUNGEREE,NSW
"DUNGOG, NSW",2420,DUNGOG,NSW
"DUNGOWAN, NSW",2340,DUNGOWAN,NSW
"DUNK, QLD",4852,DUNK,QLD
"DUNKELD, NSW",2795,DUNKELD,NSW
"DUNKELD, VIC",3294,DUNKELD,VIC
"DUNKELD, QLD",4465,DUNKELD,QLD
"DUNKIRK, VIC",3630,DUNKIRK,VIC
"DUNLOP, ACT",2615,DUNLOP,ACT
"DUNLUCE, VIC",3472,DUNLUCE,VIC
"DUNMORA, QLD",4650,DUNMORA,QLD
"DUNMORE, NSW",2529,DUNMORE,NSW
"DUNMORE, QLD",4407,DUNMORE,QLD
"DUNN ROCK, WA",6355,DUNN ROCK,WA
"DUNNEWORTHY, VIC",3377,DUNNEWORTHY,VIC
"DUNNROCK, QLD",4740,DUNNROCK,QLD
"DUNNSTOWN, VIC",3352,DUNNSTOWN,VIC
"DUNOLLY, NSW",2330,DUNOLLY,NSW
"DUNOLLY, VIC",3472,DUNOLLY,VIC
"DUNOON, NSW",2480,DUNOON,NSW
"DUNORLAN, TAS",7304,DUNORLAN,TAS
"DUNROBIN, VIC",3312,DUNROBIN,VIC
"DUNS CREEK, NSW",2321,DUNS CREEK,NSW
"DUNSBOROUGH, WA",6281,DUNSBOROUGH,WA
"DUNVILLE LOOP, NSW",2849,DUNVILLE LOOP,NSW
"DUNWICH, QLD",4183,DUNWICH,QLD
"DURACK, NT",0830,DURACK,NT
"DURACK, QLD",4077,DURACK,QLD
"DURACK, WA",6743,DURACK,WA
"DURAH, QLD",4413,DURAH,QLD
"DURAL, NSW",2158,DURAL,NSW
"DURAL, NSW",2330,DURAL,NSW
"DURAL DC, NSW",2158,DURAL DC,NSW
"MIDDLE DURAL, NSW",2158,MIDDLE DURAL,NSW
"DURAMANA, NSW",2795,DURAMANA,NSW
"DURANBAH, NSW",2487,DURANBAH,NSW
"DURANILLIN, WA",6393,DURANILLIN,WA
"DURAWAH, WA",6532,DURAWAH,WA
"DURDIDWARRAH, VIC",3342,DURDIDWARRAH,VIC
"DURHAM, QLD",4492,DURHAM,QLD
"DURHAM DOWNS, QLD",4454,DURHAM DOWNS,QLD
"DURHAM LEAD, VIC",3352,DURHAM LEAD,VIC
"DURHAM OX, VIC",3576,DURHAM OX,VIC
"DURI, NSW",2344,DURI,NSW
"DUROBY, NSW",2486,DUROBY,NSW
"UPPER DUROBY, NSW",2486,UPPER DUROBY,NSW
"DURONG, QLD",4610,DURONG,QLD
"DURRAN DURRA, NSW",2622,DURRAN DURRA,NSW
"DURRAS NORTH, NSW",2536,DURRAS NORTH,NSW
"DURREN DURREN, NSW",2259,DURREN DURREN,NSW
"DUTSON, VIC",3851,DUTSON,VIC
"DUTSON DOWNS, VIC",3851,DUTSON DOWNS,VIC
"DUTTON, SA",5356,DUTTON,SA
"DUTTON EAST, SA",5356,DUTTON EAST,SA
"DUTTON PARK, QLD",4102,DUTTON PARK,QLD
"DUTTON RIVER, QLD",4821,DUTTON RIVER,QLD
"DUTTON WAY, VIC",3305,DUTTON WAY,VIC
"MOUNT DUTTON BAY, SA",5607,MOUNT DUTTON BAY,SA
"DUVAL, NSW",2350,DUVAL,NSW
"DUVERNEY, VIC",3323,DUVERNEY,VIC
"DWARDA, WA",6308,DWARDA,WA
"DWELLINGUP, WA",6213,DWELLINGUP,WA
"DYERS CROSSING, NSW",2429,DYERS CROSSING,NSW
"DYKEHEAD, QLD",4626,DYKEHEAD,QLD
"DYNNYRNE, TAS",7005,DYNNYRNE,TAS
